State,County,Area (sqmi)
Georgia_(U.S._state),Jeff Davis County,333.0
Georgia_(U.S._state),Jefferson County,528.0
Georgia_(U.S._state),Jenkins County,350.0
Georgia_(U.S._state),Johnson County,304.0
Georgia_(U.S._state),Jones County,394.0
Georgia_(U.S._state),Lamar County,185.0
Georgia_(U.S._state),Lanier County,187.0
Georgia_(U.S._state),Laurens County,813.0
Georgia_(U.S._state),Lee County,356.0
Georgia_(U.S._state),Liberty County,519.0
Georgia_(U.S._state),Lincoln County,211.0
Georgia_(U.S._state),Long County,401.0
Georgia_(U.S._state),Lowndes County,504.0
Georgia_(U.S._state),Lumpkin County,284.0
Georgia_(U.S._state),Macon County,403.0
Georgia_(U.S._state),Madison County,284.0
Georgia_(U.S._state),Marion County,367.0
Georgia_(U.S._state),McDuffie County,260.0
Georgia_(U.S._state),McIntosh County,434.0
Georgia_(U.S._state),Meriwether County,503.0
Georgia_(U.S._state),Miller County,283.0
Georgia_(U.S._state),Mitchell County,512.0
Georgia_(U.S._state),Monroe County,396.0
Georgia_(U.S._state),Montgomery County,245.0
Georgia_(U.S._state),Morgan County,350.0
Georgia_(U.S._state),Murray County,344.0
Georgia_(U.S._state),Muscogee County,216.0
Georgia_(U.S._state),Newton County,276.0
Georgia_(U.S._state),Oconee County,186.0
Georgia_(U.S._state),Oglethorpe County,441.0
Georgia_(U.S._state),Paulding County,314.0
Georgia_(U.S._state),Peach County,151.0
Georgia_(U.S._state),Pickens County,232.0
Georgia_(U.S._state),Pierce County,343.0
Georgia_(U.S._state),Pike County,218.0
Georgia_(U.S._state),Polk County,311.0
Georgia_(U.S._state),Pulaski County,247.0
Georgia_(U.S._state),Putnam County,344.0
Georgia_(U.S._state),Quitman County,152.0
Georgia_(U.S._state),Rabun County,371.0
Georgia_(U.S._state),Randolph County,429.0
Georgia_(U.S._state),Richmond County,324.0
Georgia_(U.S._state),Rockdale County,131.0
Georgia_(U.S._state),Schley County,168.0
Georgia_(U.S._state),Screven County,648.0
Georgia_(U.S._state),Seminole County,238.0
Georgia_(U.S._state),Spalding County,198.0
Georgia_(U.S._state),Stephens County,179.0
Georgia_(U.S._state),Stewart County,459.0
Georgia_(U.S._state),Sumter County,485.0
Georgia_(U.S._state),Talbot County,393.0
Georgia_(U.S._state),Taliaferro County,195.0
Georgia_(U.S._state),Tattnall County,484.0
