FIPS,Lat,Long_
12111.0,27.37763908,-80.47106649
12113.0,30.69341450000001,-87.02458128
12115.0,27.18546175,-82.33174248
12117.0,28.7158582,-81.24060348
12119.0,28.70181754,-82.0794267
12121.0,30.19746066,-82.99099670000003
12123.0,30.04848048,-83.60445406
12125.0,30.04412971,-82.37497443
12127.0,29.05858895,-81.18263252
12129.0,30.16548905,-84.39895211
12131.0,30.64204028,-86.16935664
12133.0,30.61359259,-85.66002461
13001.0,31.74847232,-82.28909114
13003.0,31.29633502,-82.87545866
13005.0,31.55456473,-82.45936528
13007.0,31.32669878,-84.44218806
13009.0,33.06882326,-83.24701748
13011.0,34.35607081,-83.49644388
13013.0,33.99148694,-83.71436292
13015.0,34.23732119,-84.83887523
13017.0,31.76095874,-83.22145359
13019.0,31.27590016,-83.22529920000002
13021.0,32.80904227,-83.70489165
13023.0,32.43829035,-83.33035166
13025.0,31.19576557,-81.97743999
13027.0,30.83922642,-83.58303423
13029.0,32.00979311,-81.44002948
13031.0,32.39577406,-81.74811421
13033.0,33.05917989,-81.99928721
13035.0,33.283094500000004,-83.95435040000002
13037.0,31.53169785,-84.62725131
13039.0,30.92951916,-81.66601818
13043.0,32.40209349,-82.07702563
13045.0,33.58138199,-85.07976677
13047.0,34.89872298,-85.13757014
13049.0,30.78371028,-82.13951596
13051.0,32.00043026,-81.12489526
13053.0,32.34341231,-84.78809239
13055.0,34.47197698,-85.34535662
13057.0,34.24393976,-84.47431861
13059.0,33.95436462,-83.37124007
13061.0,31.62221166,-84.97713865
13063.0,33.54187245,-84.35594188
13065.0,30.91395822,-82.70432472
13067.0,33.94243204,-84.5761255
13069.0,31.54892966,-82.85492059999999
13071.0,31.18810588,-83.7677946
13073.0,33.54534185,-82.263524
13075.0,31.16068491,-83.42947229
13077.0,33.35334302,-84.76129976
13079.0,32.71391813,-83.98061238
13081.0,31.92289565,-83.76811843
13083.0,34.854916700000004,-85.50490424
13085.0,34.44244079,-84.16964071
13087.0,30.87967778,-84.57619536
13089.0,33.76944049,-84.22396017
13091.0,32.17265114,-83.16948926
13093.0,32.15630737,-83.79746561
13095.0,31.53328528,-84.21722377
13097.0,33.70291126,-84.77026156
13099.0,31.32155345,-84.90255207
13101.0,30.71101099,-82.89687287
13103.0,32.36616021,-81.34280942
13105.0,34.11302332,-82.83936148
13107.0,32.59221302,-82.30239915
13109.0,32.15328841,-81.8870105
13111.0,34.86430205,-84.316964
13113.0,33.41357794,-84.49089434
13115.0,34.26268279,-85.21577392
13117.0,34.22604035,-84.12315129999998
13119.0,34.37525597,-83.23159927
13121.0,33.79216944,-84.46319413
13123.0,34.69316688,-84.45802506
13125.0,33.22879932,-82.61297636
13127.0,31.23279254,-81.53811412
13129.0,34.50487351,-84.87296253
13131.0,30.87454847,-84.23418364
13133.0,33.5769205,-83.17139104
13135.0,33.96044201,-84.02137802
13137.0,34.63331566,-83.53094677
13139.0,34.32207823,-83.81896936
13141.0,33.2721566,-82.99766919
13143.0,33.79602175,-85.21005667
13145.0,32.73709786,-84.90538572
13147.0,34.34626973,-82.96567682
13149.0,33.29686567,-85.12886832
13151.0,33.4533428,-84.14814659999998
13153.0,32.45802497,-83.66879087
13155.0,31.60213036,-83.27501387
13157.0,34.13794553,-83.56814788
13159.0,33.31535543,-83.68844964
13161.0,31.80405727,-82.63724870000001
13163.0,33.05867328,-82.41609057
13165.0,32.79248718,-81.96040187
13167.0,32.70211082,-82.66166794
13169.0,33.02512137,-83.56019163
13171.0,33.07841647,-84.14263877
13173.0,31.03828570000001,-83.06472457
13175.0,32.46325233,-82.92221316
13177.0,31.779330600000005,-84.14324253
13179.0,31.82588896,-81.49251135
13181.0,33.79201475,-82.45024131
13183.0,31.75218791,-81.74952375
13185.0,30.83568832,-83.27056716
13187.0,34.57286511,-84.00425681
13189.0,33.47851918,-82.48252774
13191.0,31.49683595,-81.40163426
13193.0,32.35207048,-84.04234127
13195.0,34.12920917,-83.21218732
13197.0,32.3483402,-84.52733571
13199.0,33.04163534,-84.68859732
13201.0,31.16568912,-84.73151117
13205.0,31.22483255,-84.19381821
13207.0,33.014289,-83.92097166
13209.0,32.17201038,-82.53527476
13211.0,33.59232073,-83.49129491
13213.0,34.78897608,-84.74993177
13215.0,32.50931999,-84.87142262
13217.0,33.55514538,-83.84547140000002
13219.0,33.83749973,-83.43679568
13221.0,33.878629600000004,-83.08278123
13223.0,33.91969522,-84.86848792
13225.0,32.56934316,-83.82937
13227.0,34.46589159,-84.46406611
13229.0,31.35928155,-82.21598442
13231.0,33.09310242,-84.38790389
13233.0,34.00267074,-85.18677781
13235.0,32.23334561,-83.47549959999998
13237.0,33.32056115,-83.37552891
13239.0,31.86728114,-85.01773177
13241.0,34.88389445,-83.40304637
13243.0,31.76622818,-84.75732369
13245.0,33.35777107,-82.07026432
13247.0,33.65145002,-84.02202167
13249.0,32.2654021,-84.31258912
13251.0,32.74976524,-81.60779441
13253.0,30.93464824,-84.86823924
13255.0,33.26310031,-84.28013991
13257.0,34.55151201,-83.29405315
13259.0,32.07996777,-84.83208037
13261.0,32.03650571,-84.19821492
13263.0,32.69642758,-84.53351366
13265.0,33.56543317,-82.88136816
13267.0,32.04785085,-82.05539188
13269.0,32.55792548,-84.25077141
13271.0,31.92829517,-82.93491155
13273.0,31.77527543,-84.44069698
13275.0,30.86392347,-83.91847289
13277.0,31.45743864,-83.5236119
13279.0,32.12059861,-82.32957247
13281.0,34.91369188,-83.74107459999998
13283.0,32.40422134,-82.56904553
13285.0,33.03349196,-85.02812115
13287.0,31.71612656,-83.62069378
13289.0,32.67435595,-83.43078662
13291.0,34.82995757,-83.98967069
13293.0,32.87920671,-84.30024826
13295.0,34.73376362,-85.30165174
13297.0,33.78017694,-83.73552314
13299.0,31.05449097,-82.42224148
13301.0,33.41146451,-82.67795848
13303.0,32.96711864,-82.79357039
13305.0,31.5521809,-81.91894878
13307.0,32.04066113,-84.54742852
13309.0,32.12009104,-82.72574721
13311.0,34.64624278,-83.74905525
13313.0,34.80987459,-84.96093476
13315.0,31.97496928,-83.43438555
13317.0,33.78290391,-82.74286107
13319.0,32.80291082,-83.17140684
13321.0,31.55162306,-83.85090513
15001.0,19.60121157,-155.5210167
15003.0,21.45803166,-157.97121819999995
15005.0,21.17882515,-156.9583592
15007.0,22.03935037,-159.5966786
